ID,SIREID,DAMID,YR,GR,SEX
112,0,0,90,2,1
790790,0,0,79,0,2
791670,0,0,79,0,2
792090,0,0,79,0,2
792790,0,0,79,0,2
793270,0,0,79,0,2
794120,0,0,79,0,2
794810,0,0,79,0,2
795400,0,0,79,0,2
800020,0,0,80,0,2
800230,0,0,80,0,2
800260,0,0,80,0,2
800270,0,0,80,0,2
800480,0,0,80,0,2
800620,0,0,80,0,2
800630,0,0,80,0,2
800970,0,0,80,0,2
801180,0,0,80,0,2
801661,0,0,80,1,2
801680,0,0,80,0,2
801780,0,0,80,0,2
801920,0,0,80,0,2
802230,0,0,80,0,2
802241,0,0,80,1,2
802620,0,0,80,0,2
802660,0,0,80,0,2
802780,0,0,80,0,2
802880,0,0,80,0,2
803080,0,0,80,0,2
803165,0,0,80,5,2
803260,0,0,80,0,2
803390,0,0,80,0,2
803460,0,0,80,0,2
803600,0,0,80,0,2
804040,0,0,80,0,2
804061,0,0,80,1,2
804090,0,0,80,0,2
804140,0,0,80,0,2
804190,0,0,80,0,2
804225,0,0,80,5,2
804230,0,0,80,0,2
804260,0,0,80,0,2
810020,0,0,81,0,2
810030,0,0,81,0,2
810040,0,0,81,0,2
810065,0,0,81,5,2
810120,0,0,81,0,2
810350,0,0,81,0,2
810620,0,0,81,0,2
810631,0,0,81,1,2
810641,0,0,81,1,2
810651,0,0,81,1,2
811020,0,0,81,0,2
811140,0,0,81,0,2
811340,0,0,81,0,2
811820,0,0,81,0,2
811830,0,0,81,0,2
811911,0,0,81,1,2
811970,0,0,81,0,2
812120,0,0,81,0,2
812220,0,0,81,0,2
812265,0,0,81,5,2
812380,0,0,81,0,2
812430,0,0,81,0,2
812480,0,0,81,0,2
812530,0,0,81,0,2
812561,0,0,81,1,2
812620,0,0,81,0,2
812740,0,0,81,0,2
812850,0,0,81,0,2
812981,0,0,81,1,2
813350,0,0,81,0,2
813470,0,0,81,0,2
813770,0,0,81,0,2
813850,0,0,81,0,2
813900,0,0,81,0,2
814180,0,0,81,0,2
814410,0,0,81,0,2
814460,0,0,81,0,2
814490,0,0,81,0,2
814510,0,0,81,0,2
814690,0,0,81,0,2
814781,0,0,81,1,2
814790,0,0,81,0,2
814840,0,0,81,0,2
815011,0,0,81,1,2
815080,0,0,81,0,2
820160,0,0,82,0,2
820401,0,0,82,1,2
820570,0,0,82,0,2
820595,0,0,82,5,2
820680,0,0,82,0,2
820715,0,0,82,5,2
820810,0,0,82,0,2
820830,0,0,82,0,2
820861,0,0,82,1,2
820900,0,0,82,0,2
821060,0,0,82,0,2
821070,0,0,82,0,2
821131,0,0,82,1,2
821170,0,0,82,0,2
821480,0,0,82,0,2
821520,0,0,82,0,2
821590,0,0,82,0,2
821621,0,0,82,1,2
821660,0,0,82,0,2
821680,0,0,82,0,1
821690,0,0,82,0,2
821750,0,0,82,0,2
821800,0,0,82,0,2
821900,0,0,82,0,2
821910,0,0,82,0,2
821925,0,0,82,5,2
