ID,NOMMER,VAAR,MOER,GR,YR,SEX,BASE
952475,952475,930085,912765,5,95,2,
953694,953694,0,0,,,,
953725,953725,934155,903025,5,95,2,
953794,953794,0,0,,,,
954454,954454,0,0,,,,
954494,954494,0,0,,,,
954604,954604,0,0,,,,
960035,960035,941265,921845,5,96,2,
960201,960201,942161,911231,1,96,2,
960224,960224,0,0,,,,
960354,960354,0,0,,,,
960815,960815,942475,901145,5,96,2,
960872,960872,0,0,,,,
961114,961114,0,0,,,,
961564,961564,0,0,,,,
962544,962544,0,0,,,,
962855,962855,941485,900725,5,96,2,
962915,962915,942975,913985,5,96,2,
963464,963464,0,0,,,,
964301,964301,931601,932071,1,96,2,
964351,964351,943431,900511,1,96,2,
964444,964444,0,0,,,,
964624,964624,0,0,,,,
972342,972342,0,0,,,,
972473,972473,0,0,,,,
973714,973714,0,0,,,,
1001002,1001002,0,0,,,,
1011132,1011132,0,0,,,,
1020212,1020212,0,0,,,,
1020222,1020222,0,0,,,,
1040432,1040432,0,0,,,,
1040982,1040982,0,0,,,,
1041493,1041493,0,0,,,,
1049070,1049070,0,0,,,,
1049432,1049432,0,0,,,,
1050022,1050022,0,0,,,,
1050183,1050183,0,0,,,,
1050493,1050493,0,0,,,,
1051182,1051182,0,0,,,,
10490432,10490432,0,0,,,,
