NOMMER,VAAR,MOER,GR,YR,SEX,BDAT,WDAT
862893,831750,821900,3,86,1,1986/03/01,1986/06/09
862902,831750,821900,2,86,2,1986/03/01,1986/06/09
862943,832140,821800,3,86,2,1986/03/01,1986/06/09
862953,832140,821800,3,86,1,1986/03/01,1986/06/09
862963,844750,801920,3,86,2,1986/03/01,1986/06/09
863012,840650,802620,2,86,2,1986/03/01,1986/06/09
863022,831750,834990,2,86,1,1986/03/01,1986/06/09
863042,843010,803460,2,86,2,1986/03/01,1986/06/09
863052,831750,834990,2,86,1,1986/03/01,1986/06/09
863103,843980,800270,3,86,1,1986/03/01,1986/06/09
863112,840650,830570,2,86,1,1986/03/01,1986/06/09
863132,830840,812220,2,86,2,1986/03/01,1986/06/09
863143,832990,821060,3,86,2,1986/03/01,1986/06/09
863163,830840,822150,3,86,2,1986/03/01,1986/06/09
863173,830840,822150,3,86,2,1986/03/01,1986/06/09
863182,843010,822690,2,86,1,1986/03/01,1986/06/09
863192,843010,822690,2,86,1,1986/03/01,1986/06/09
863293,832140,821910,3,86,2,1986/03/01,1986/06/09
863303,832140,821910,3,86,2,1986/03/01,1986/06/09
863313,832140,834840,3,86,1,1986/03/01,1986/06/09
863323,843790,840050,3,86,2,1986/03/01,1986/06/09
863333,831750,824780,3,86,1,1986/03/01,1986/06/09
863382,832990,815080,2,86,2,1986/03/01,1986/06/09
863413,832990,833400,3,86,2,1986/03/01,1986/06/09
863422,840650,845190,2,86,2,1986/03/01,1986/06/09
863442,843980,814410,2,86,2,1986/03/01,1986/06/09
863453,831750,800480,3,86,1,1986/03/01,1986/06/09
863463,831750,844660,3,86,1,1986/03/01,1986/06/09
863472,832140,844730,2,86,2,1986/03/01,1986/06/09
863563,832990,822100,3,86,2,1986/03/01,1986/06/09
863593,843790,800260,3,86,2,1986/03/01,1986/06/09
863613,844750,831410,3,86,2,1986/03/01,1986/06/09
863643,830840,802660,3,86,1,1986/03/01,1986/06/09
863693,832990,821170,3,86,1,1986/03/01,1986/06/09
863723,832140,831600,3,86,1,1986/03/01,1986/06/09
863753,843010,841340,3,86,1,1986/03/01,1986/06/09
863762,843980,831880,2,86,1,1986/03/01,1986/06/09
863773,843010,841320,3,86,1,1986/03/01,1986/06/09
863783,843010,841320,3,86,1,1986/03/01,1986/06/09
863792,844750,840720,2,86,2,1986/03/01,1986/06/09
863832,831750,832830,2,86,2,1986/03/01,1986/06/09
863842,831750,832830,2,86,2,1986/03/01,1986/06/09
863853,843010,801180,3,86,2,1986/03/01,1986/06/09
863893,832140,822710,3,86,2,1986/03/01,1986/06/09
863912,840650,833510,2,86,1,1986/03/01,1986/06/09
864043,843980,832720,3,86,1,1986/03/01,1986/06/09
864063,843790,832030,3,86,1,1986/03/01,1986/06/09
864133,844750,840040,3,86,2,1986/03/01,1986/06/09
864162,843790,843770,2,86,1,1986/03/01,1986/06/09
